ID,age,gender,pastvote_EURef,Vote2015R,social_grade,govregion,W8,starttime,endtime,disposition,Q1,Q2
653,57,2,4,6,1,5,2.08472403408603,7/19/2016,7/19/2016,1,3,3
661,56,2,3,6,2,5,2.62071461192629,7/19/2016,7/19/2016,1,3,5
662,65,2,1,7,1,5,.578494290980016,7/19/2016,7/19/2016,1,1,1
686,62,1,1,6,1,5,.899841203803434,7/19/2016,7/19/2016,1,4,1
695,67,2,2,6,1,5,1.49089789740011,7/19/2016,7/19/2016,1,4,2
700,45,1,1,6,1,5,.858319423786664,7/19/2016,7/19/2016,1,4,1
705,55,2,1,7,2,5,.571975164685541,7/19/2016,7/19/2016,1,3,1
710,71,2,1,3,1,5,.694968792789126,7/19/2016,7/19/2016,1,3,1
715,51,1,2,6,2,5,1.49888315143328,7/19/2016,7/19/2016,1,1,2
733,25,2,1,6,1,5,1.22848248751717,7/19/2016,7/19/2016,1,3,2
742,53,2,1,3,2,5,.746675767596847,7/19/2016,7/19/2016,1,2,1
749,32,1,1,2,2,5,.852876432163881,7/19/2016,7/20/2016,1,3,3
750,58,2,1,6,2,5,.996749338045939,7/19/2016,7/19/2016,1,5,1
758,38,1,1,6,2,5,1.11923993134901,7/19/2016,7/19/2016,1,3,2
763,51,1,1,1,2,5,.803747395380368,7/19/2016,7/19/2016,1,3,2
764,54,2,1,6,2,5,1.03392504266014,7/19/2016,7/19/2016,1,4,1
780,49,1,1,6,2,5,1.10522280056479,7/19/2016,7/19/2016,1,2,1
781,55,1,1,6,2,5,.861450016380281,7/19/2016,7/19/2016,1,2,1
788,50,1,2,6,2,5,1.79254693032362,7/19/2016,7/19/2016,1,3,1
802,60,1,1,6,1,5,1.4843288588796,7/19/2016,7/19/2016,1,1,1
816,31,1,1,2,1,5,.8908855311637,7/19/2016,7/19/2016,1,1,1
818,67,2,1,6,1,5,1.04570927447347,7/19/2016,7/19/2016,1,1,1
832,22,1,2,1,1,5,1.28139437429357,7/20/2016,7/20/2016,1,2,4
855,36,1,1,3,1,5,.838570707471528,7/19/2016,7/19/2016,1,1,1
861,52,2,1,6,1,5,.898912902555777,7/19/2016,7/19/2016,1,1,1
864,33,2,2,2,2,5,1.04303898864169,7/19/2016,7/19/2016,1,3,3
872,116,2,2,6,2,5,1.30590743260397,7/19/2016,7/19/2016,1,2,1
876,31,2,1,6,1,5,.982208344720114,7/19/2016,7/19/2016,1,3,1
880,76,1,1,2,2,5,.591639987784517,7/19/2016,7/19/2016,1,2,1
903,49,1,2,6,2,5,2.43374138422065,7/19/2016,7/19/2016,1,3,1
905,34,1,1,5,1,5,.72406334190774,7/19/2016,7/19/2016,1,3,1
912,48,2,3,7,2,5,.958764621686567,7/19/2016,7/19/2016,1,2,4
943,31,1,3,7,2,5,1.44012152574692,7/19/2016,7/19/2016,1,1,5
945,24,2,3,2,2,5,2.13935185293276,7/19/2016,7/19/2016,1,3,5
948,32,2,3,2,2,5,2.93761578571434,7/19/2016,7/19/2016,1,3,3
959,18,2,2,7,1,5,.753389730363981,7/19/2016,7/19/2016,1,3,1
972,18,1,1,7,1,5,1.15786457213241,7/20/2016,7/20/2016,1,1,1
974,35,1,1,5,2,5,.634221633501725,7/19/2016,7/19/2016,1,1,1
976,46,2,1,6,2,5,1.02007832471756,7/19/2016,7/19/2016,1,2,2
979,60,1,2,3,1,5,.946564902741692,7/19/2016,7/19/2016,1,5,1
996,20,2,3,7,1,5,1.91589898005926,7/19/2016,7/19/2016,1,3,3
1010,33,1,1,1,1,5,.964659593069436,7/19/2016,7/19/2016,1,2,1
1023,59,1,1,6,1,5,.751308897844877,7/19/2016,7/19/2016,1,1,1
1048,40,2,1,1,1,5,.598064476526273,7/19/2016,7/19/2016,1,1,2
1056,39,1,2,6,1,5,.676977135199488,7/19/2016,7/19/2016,1,1,1
1060,23,2,2,6,2,5,.721246807569571,7/19/2016,7/19/2016,1,1,3
1081,49,2,1,6,1,5,.490625590360879,7/19/2016,7/19/2016,1,3,1
1083,42,1,2,4,1,5,.895547510402954,7/19/2016,7/19/2016,1,5,1
1085,67,2,1,6,1,5,.578494290980016,7/19/2016,7/19/2016,1,2,1
1124,27,2,1,7,2,5,.429748815257758,7/19/2016,7/19/2016,1,1,1
1133,19,2,3,7,1,5,1.91589898005926,7/19/2016,7/19/2016,1,2,5
1135,34,2,3,7,1,5,1.03640769090031,7/19/2016,7/19/2016,1,2,2
1148,51,2,2,6,1,5,.62537405411138,7/19/2016,7/19/2016,1,5,1
1169,41,2,1,6,1,5,.432760268513672,7/19/2016,7/19/2016,1,1,1
1190,74,2,1,3,1,5,.732254284055166,7/19/2016,7/19/2016,1,1,1
1191,58,1,1,6,2,5,.459425506248933,7/19/2016,7/19/2016,1,1,1
1195,48,1,1,2,1,5,.697881742034206,7/19/2016,7/19/2016,1,1,1
1200,54,2,2,6,1,5,.946774312297926,7/19/2016,7/19/2016,1,3,4
1203,36,2,2,1,1,5,1.24448153827595,7/19/2016,7/19/2016,1,4,2
1205,67,1,1,3,1,5,.612925530449306,7/19/2016,7/19/2016,1,1,1
1210,65,2,1,2,1,5,1.22166981884523,7/19/2016,7/19/2016,1,3,2
1215,43,1,1,6,2,5,.84962844226157,7/19/2016,7/19/2016,1,1,1
1240,25,1,1,2,1,5,.8908855311637,7/19/2016,7/19/2016,1,2,1
1243,24,1,1,2,1,5,.97126459407727,7/19/2016,7/19/2016,1,3,2
1254,36,2,1,5,1,5,.523827915067057,7/19/2016,7/19/2016,1,1,1
1265,19,2,1,3,2,5,.872207572270071,7/19/2016,7/19/2016,1,2,1
1293,43,1,1,6,1,5,.72406334190774,7/19/2016,7/19/2016,1,1,1
1296,66,1,1,2,1,5,.675449723145319,7/19/2016,7/19/2016,1,1,1
1318,69,2,2,1,1,5,1.0988376890017,7/19/2016,7/19/2016,1,3,1
1324,19,2,1,2,1,5,.805620725262675,7/19/2016,7/19/2016,1,3,1
1336,28,1,1,7,1,5,.662486211987535,7/19/2016,7/19/2016,1,2,1
1338,29,1,1,6,1,5,.698028993371718,7/19/2016,7/19/2016,1,1,1
1342,23,2,1,1,1,5,.773733037697462,7/19/2016,7/19/2016,1,3,3
1344,62,2,1,3,2,5,.794859820951605,7/19/2016,7/19/2016,1,3,1
1359,61,2,1,2,1,5,.611858611533847,7/19/2016,7/19/2016,1,3,2
1363,58,2,1,2,1,5,.82860980305984,7/19/2016,7/19/2016,1,2,1
1369,19,2,1,2,1,5,.737107641952581,7/19/2016,7/19/2016,1,1,1
1370,47,2,1,6,2,5,.475944407929077,7/19/2016,7/19/2016,1,2,1
1382,54,1,3,7,1,5,1.3423400982414,7/19/2016,7/19/2016,1,4,1
1437,24,2,1,1,1,5,.815244277797231,7/19/2016,7/19/2016,1,1,1
1455,20,2,1,6,2,5,.689059951023465,7/20/2016,7/20/2016,1,3,1
1468,19,2,1,6,2,5,.524747115530232,7/19/2016,7/19/2016,1,3,1
1488,61,2,2,7,2,5,.786160131860236,7/19/2016,7/19/2016,1,3,2
1508,26,2,1,2,1,5,.730696115810181,7/19/2016,7/19/2016,1,1,1
1554,24,2,1,6,1,5,.879225390733255,7/19/2016,7/19/2016,1,1,1
1569,55,2,1,2,1,5,.611858611533847,7/19/2016,7/19/2016,1,4,1
1581,24,1,1,7,2,5,.879675707409681,7/19/2016,7/19/2016,1,3,3
1590,25,2,4,7,2,5,1.45150523816137,7/19/2016,7/19/2016,1,3,1
1609,23,2,1,7,1,5,.580755878078255,7/19/2016,7/19/2016,1,1,1
1618,30,2,3,7,1,5,1.25450351934658,7/19/2016,7/19/2016,1,3,5
1629,78,2,1,2,2,5,.706824718748424,7/19/2016,7/19/2016,1,3,1
1635,28,2,1,1,1,5,.662353060852497,7/19/2016,7/19/2016,1,2,1
21,52,1,1,2,2,3,1.40051068988632,7/19/2016,7/19/2016,1,2,1
39,83,1,2,7,2,3,.900644273136579,7/19/2016,7/19/2016,1,2,1
53,66,1,2,1,1,3,1.07771489876819,7/19/2016,7/19/2016,1,3,2
75,46,2,1,7,2,3,.713080403890506,7/19/2016,7/19/2016,1,3,1
95,77,1,1,2,1,3,.681467249080197,7/19/2016,7/19/2016,1,1,1
98,74,1,2,1,2,3,1.23958218812554,7/19/2016,7/19/2016,1,5,1
135,70,1,2,7,2,3,1.36351493433094,7/20/2016,7/20/2016,1,5,1
137,66,2,2,1,2,3,1.48091297001125,7/19/2016,7/19/2016,1,2,1
149,68,1,1,6,2,3,.48107124700136,7/19/2016,7/19/2016,1,2,1
158,64,2,2,4,2,3,1.03626024363327,7/19/2016,7/19/2016,1,5,1
169,73,1,2,1,2,3,1.23958218812554,7/19/2016,7/19/2016,1,3,1
186,61,1,1,6,1,3,.982007444867454,7/19/2016,7/19/2016,1,1,1
